all,,centrals,,satellites,,025dexerror,,Muzzin,,Santini,,Wright,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.059171597633137,-1.6186868686868685,8.019723865877712,-1.6944444444444446,8.049309664694281,-2.7676767676767664,8.088757396449704,-1.6439393939393927,10.77120315581854,-3.436868686868687,9.65680473372781,-2.5025252525252526,9.775147928994084,-2.8055555555555554
8.266272189349113,-1.770202020202019,8.216962524654832,-1.808080808080808,8.207100591715976,-2.8308080808080813,8.34516765285996,-1.782828282828282,10.948717948717949,-3.7904040404040398,9.85404339250493,-2.5025252525252526,10.03155818540434,-2.8434343434343443
8.54240631163708,-1.9217171717171713,8.44378698224852,-1.9469696969696955,8.384615384615385,-2.8939393939393927,8.54240631163708,-1.9090909090909083,11.1163708086785,-4.042929292929292,10.051282051282051,-2.7297979797979792,10.278106508875739,-2.969696969696969
8.749506903353058,-2.047979797979796,8.7396449704142,-2.1237373737373737,8.57199211045365,-2.969696969696969,8.729783037475345,-2.0606060606060588,11.31360946745562,-4.333333333333332,10.258382642998027,-3.045454545454545,10.544378698224852,-3.2095959595959584
8.986193293885602,-2.174242424242424,8.976331360946745,-2.2499999999999982,8.779092702169626,-3.095959595959595,9.025641025641026,-2.174242424242424,11.49112426035503,-5.015151515151512,10.455621301775148,-3.3232323232323235,10.790927021696252,-3.386363636363635
9.21301775147929,-2.325757575757576,9.203155818540434,-2.4141414141414135,9.005917159763314,-3.1969696969696955,9.21301775147929,-2.3762626262626245,11.678500986193294,-5.43181818181818,10.662721893491124,-3.373737373737372,10.879684418145956,-3.6136363636363633
9.45956607495069,-2.553030303030301,9.45956607495069,-2.616161616161616,9.242603550295858,-3.3358585858585865,9.518737672583827,-2.5025252525252526,,,10.859960552268245,-3.5883838383838373,11.037475345167653,-3.7398989898989896
9.735700197238659,-2.742424242424242,9.676528599605522,-2.7929292929292924,9.499013806706115,-3.537878787878787,9.863905325443788,-2.8181818181818183,,,11.057199211045365,-4.0808080808080796,11.284023668639055,-4.030303030303029
10.021696252465484,-2.957070707070706,9.93293885601578,-2.9318181818181817,9.706114398422091,-3.7146464646464636,10.159763313609467,-3.083333333333332,,,11.254437869822485,-4.371212121212121,11.520710059171599,-4.333333333333332
10.248520710059172,-3.1843434343434325,10.209072978303748,-3.1843434343434325,9.923076923076923,-3.878787878787877,10.485207100591715,-3.3484848484848477,,,,,,
10.554240631163708,-3.44949494949495,10.455621301775148,-3.436868686868687,10.159763313609467,-4.042929292929292,10.77120315581854,-3.6641414141414117,,,,,,
10.731755424063117,-3.7398989898989896,10.652859960552268,-3.7272727272727266,10.307692307692308,-4.207070707070706,10.909270216962526,-3.954545454545455,,,,,,
10.889546351084814,-4.0808080808080796,10.790927021696252,-3.929292929292929,10.47534516765286,-4.421717171717171,11.126232741617358,-4.28282828282828,,,,,,
11.007889546351084,-4.333333333333332,10.958579881656805,-4.270202020202021,10.593688362919131,-4.712121212121211,11.333333333333334,-4.699494949494948,,,,,,
11.1163708086785,-4.661616161616161,11.106508875739646,-4.611111111111109,10.731755424063117,-4.926767676767675,11.451676528599606,-5.09090909090909,,,,,,
11.24457593688363,-4.926767676767675,11.224852071005916,-4.901515151515149,10.859960552268245,-5.204545454545453,11.570019723865878,-5.3686868686868685,,,,,,
11.353057199211046,-5.217171717171716,11.333333333333334,-5.179292929292931,10.958579881656805,-5.457070707070706,11.698224852071005,-5.76010101010101,,,,,,
11.471400394477318,-5.583333333333332,11.431952662721894,-5.507575757575754,11.076923076923077,-5.7095959595959584,11.767258382642998,-5.911616161616159,,,,,,
,,11.481262327416173,-5.747474747474747,11.185404339250493,-5.936868686868685,,,,,,,,
