all,,centrals,,satellites,,30kpc,,Moustakas,,Muzzin,,Wright,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.029469548133596,-1.4166666666666663,8.06876227897839,-1.6060606060606057,8.058939096267192,-2.0606060606060606,8.039292730844794,-1.4671717171717167,9.031434184675835,-2.0479797979797976,8.903732809430256,-2.0606060606060606,8.039292730844794,-1.7196969696969695
8.176817288801573,-1.4924242424242422,8.225933202357565,-1.6691919191919187,8.225933202357565,-2.174242424242424,8.235756385068763,-1.5429292929292926,9.2671905697446,-2.174242424242424,9.178781925343813,-2.1237373737373737,8.294695481335953,-1.707070707070707
8.363457760314343,-1.593434343434343,8.412573673870334,-1.732323232323232,8.353634577603144,-2.262626262626262,8.392927308447938,-1.631313131313131,9.611001964636543,-2.313131313131313,9.286836935166995,-2.1237373737373737,8.540275049115914,-1.7954545454545452
8.530451866404716,-1.6691919191919187,8.559921414538312,-1.808080808080808,8.56974459724951,-2.3636363636363633,8.667976424361495,-1.7449494949494948,9.827111984282908,-2.30050505050505,9.38506876227898,-2.148989898989899,8.540275049115914,-1.8712121212121209
8.75638506876228,-1.7954545454545452,8.707269155206287,-1.8838383838383836,8.75638506876228,-2.4646464646464645,8.88408644400786,-1.833333333333333,9.925343811394892,-2.30050505050505,9.473477406679766,-2.199494949494949,8.785854616895875,-1.9469696969696968
8.972495088408646,-1.8585858585858583,8.943025540275048,-1.9595959595959593,8.982318271119844,-2.54040404040404,9.129666011787819,-1.9217171717171715,10.033398821218075,-2.313131313131313,9.669941060903735,-2.262626262626262,9.031434184675835,-2.035353535353535
9.208251473477407,-1.9469696969696968,9.159135559921417,-2.0479797979797976,9.19842829076621,-2.641414141414141,9.335952848722986,-2.0227272727272725,10.102161100196465,-2.262626262626262,9.974459724950883,-2.3636363636363633,9.286836935166995,-2.174242424242424
9.375245579567782,-2.0606060606060606,9.414538310412574,-2.174242424242424,9.414538310412574,-2.7171717171717167,9.601178781925345,-2.148989898989899,10.190569744597251,-2.3510101010101008,10.445972495088409,-2.5151515151515147,9.542239685658156,-2.30050505050505
9.669941060903735,-2.1616161616161613,9.660117878192533,-2.25,9.620825147347741,-2.8434343434343434,9.807465618860512,-2.2247474747474745,10.328094302554028,-2.3762626262626263,10.534381139489195,-2.502525252525252,9.787819253438116,-2.4015151515151514
9.895874263261298,-2.2247474747474745,9.856581532416506,-2.3383838383838382,9.846758349705304,-2.919191919191919,10.06286836935167,-2.313131313131313,10.396856581532418,-2.3257575757575752,10.63261296660118,-2.54040404040404,10.043222003929273,-2.502525252525252
10.092337917485267,-2.2878787878787876,10.111984282907663,-2.4267676767676765,10.013752455795679,-3.0202020202020203,10.308447937131632,-2.3762626262626263,10.514734774066799,-2.3383838383838382,10.721021611001966,-2.6287878787878785,10.288801571709236,-2.590909090909091
10.31827111984283,-2.3636363636363633,10.347740667976424,-2.502525252525252,10.239685658153242,-3.0833333333333335,10.56385068762279,-2.5277777777777777,10.603143418467585,-2.3888888888888884,10.81925343811395,-2.755050505050505,10.544204322200393,-2.641414141414141
10.583497053045189,-2.5277777777777777,10.544204322200393,-2.6035353535353534,10.445972495088409,-3.1717171717171717,10.779960707269154,-2.679292929292929,10.70137524557957,-2.3636363636363633,10.927308447937133,-2.919191919191919,10.779960707269154,-2.893939393939394
10.838899803536346,-2.7424242424242427,10.81925343811395,-2.830808080808081,10.612966601178783,-3.31060606060606,11.015717092337919,-2.957070707070707,10.81925343811395,-2.4898989898989896,11.113948919449903,-3.1843434343434343,11.025540275049117,-3.1717171717171717
11.045186640471513,-2.994949494949495,11.015717092337919,-3.032828282828283,10.789783889980356,-3.512626262626263,11.212180746561888,-3.2474747474747474,10.897838899803538,-2.6287878787878785,11.212180746561888,-3.4116161616161613,11.280943025540278,-3.3358585858585856
11.172888015717092,-3.2222222222222223,11.1335952848723,-3.234848484848485,10.917485265225935,-3.702020202020202,11.36935166994106,-3.5757575757575757,10.99607072691552,-2.7171717171717167,11.32023575638507,-3.6893939393939394,11.271119842829076,-3.941919191919192
11.339882121807467,-3.4621212121212124,11.359528487229863,-3.512626262626263,11.074656188605108,-3.904040404040404,11.555992141453832,-3.8282828282828283,11.113948919449903,-2.9696969696969697,11.428290766208253,-3.941919191919192,11.536345776031435,-3.8914141414141414
11.487229862475441,-3.702020202020202,11.536345776031435,-3.8156565656565657,11.18271119842829,-4.093434343434344,11.693516699410612,-4.156565656565657,11.192534381139492,-3.095959595959596,11.497053045186643,-4.16919191919192,11.546168958742633,-4.068181818181818
11.585461689587426,-3.904040404040404,11.693516699410612,-4.207070707070708,11.300589390962674,-4.295454545454546,11.831041257367389,-4.434343434343434,11.310412573673872,-3.4621212121212124,11.605108055009826,-4.5732323232323235,11.781925343811398,-4.813131313131314
11.722986247544206,-4.194444444444445,11.831041257367389,-4.51010101010101,11.408644400785857,-4.472222222222222,11.909626719056977,-4.762626262626262,11.398821218074655,-3.6515151515151514,11.693516699410612,-4.9898989898989905,,
