# 1: Log(Mstar)
# 2: Log(MF) intrinsic
# 3: Log(MF) convolved with 0.25 dex error on Mstar
# 4: Redshift
    0.766250E+01   -0.134332E+01   -0.167845E+01    0.400794E+01
    0.778750E+01   -0.143664E+01   -0.161229E+01    0.400794E+01
    0.791250E+01   -0.153788E+01   -0.160723E+01    0.400794E+01
    0.803750E+01   -0.164737E+01   -0.165205E+01    0.400794E+01
    0.816250E+01   -0.176581E+01   -0.173064E+01    0.400794E+01
    0.828750E+01   -0.188794E+01   -0.183100E+01    0.400794E+01
    0.841250E+01   -0.200841E+01   -0.194277E+01    0.400794E+01
    0.853750E+01   -0.212297E+01   -0.205697E+01    0.400794E+01
    0.866250E+01   -0.223190E+01   -0.217060E+01    0.400794E+01
    0.878750E+01   -0.233880E+01   -0.228218E+01    0.400794E+01
    0.891250E+01   -0.244931E+01   -0.239607E+01    0.400794E+01
    0.903750E+01   -0.256272E+01   -0.250541E+01    0.400794E+01
    0.916250E+01   -0.267088E+01   -0.261849E+01    0.400794E+01
    0.928750E+01   -0.278962E+01   -0.273274E+01    0.400794E+01
    0.941250E+01   -0.290768E+01   -0.284584E+01    0.400794E+01
    0.953750E+01   -0.302585E+01   -0.296671E+01    0.400794E+01
    0.966250E+01   -0.314769E+01   -0.308623E+01    0.400794E+01
    0.978750E+01   -0.328015E+01   -0.321315E+01    0.400794E+01
    0.991250E+01   -0.342010E+01   -0.334335E+01    0.400794E+01
    0.100375E+02   -0.356828E+01   -0.349252E+01    0.400794E+01
    0.101625E+02   -0.373827E+01   -0.364395E+01    0.400794E+01
    0.102875E+02   -0.392826E+01   -0.381036E+01    0.400794E+01
    0.104125E+02   -0.413830E+01   -0.398470E+01    0.400794E+01
    0.105375E+02   -0.438346E+01   -0.420168E+01    0.400794E+01
    0.106625E+02   -0.470509E+01   -0.441185E+01    0.400794E+01
    0.107875E+02   -0.504710E+01   -0.468140E+01    0.400794E+01
    0.109125E+02   -0.549156E+01   -0.493947E+01    0.400794E+01
    0.110375E+02   -0.607513E+01   -0.532039E+01    0.400794E+01
    0.111625E+02   -0.666140E+01   -0.571410E+01    0.400794E+01
    0.112875E+02   -0.702938E+01   -0.611733E+01    0.400794E+01
    0.766250E+01   -0.130181E+01   -0.163136E+01    0.373113E+01
    0.778750E+01   -0.138880E+01   -0.156262E+01    0.373113E+01
    0.791250E+01   -0.148482E+01   -0.155592E+01    0.373113E+01
    0.803750E+01   -0.158914E+01   -0.159693E+01    0.373113E+01
    0.816250E+01   -0.170199E+01   -0.167198E+01    0.373113E+01
    0.828750E+01   -0.181876E+01   -0.176726E+01    0.373113E+01
    0.841250E+01   -0.193343E+01   -0.187410E+01    0.373113E+01
    0.853750E+01   -0.204456E+01   -0.198247E+01    0.373113E+01
    0.866250E+01   -0.214976E+01   -0.209260E+01    0.373113E+01
    0.878750E+01   -0.225169E+01   -0.220056E+01    0.373113E+01
    0.891250E+01   -0.235653E+01   -0.230581E+01    0.373113E+01
    0.903750E+01   -0.246418E+01   -0.241221E+01    0.373113E+01
    0.916250E+01   -0.257000E+01   -0.251866E+01    0.373113E+01
    0.928750E+01   -0.267576E+01   -0.262510E+01    0.373113E+01
    0.941250E+01   -0.278517E+01   -0.273797E+01    0.373113E+01
    0.953750E+01   -0.289999E+01   -0.284591E+01    0.373113E+01
    0.966250E+01   -0.301211E+01   -0.295829E+01    0.373113E+01
    0.978750E+01   -0.312890E+01   -0.307608E+01    0.373113E+01
    0.991250E+01   -0.326000E+01   -0.319707E+01    0.373113E+01
    0.100375E+02   -0.339591E+01   -0.332961E+01    0.373113E+01
    0.101625E+02   -0.354238E+01   -0.346877E+01    0.373113E+01
    0.102875E+02   -0.371470E+01   -0.362034E+01    0.373113E+01
    0.104125E+02   -0.391476E+01   -0.379024E+01    0.373113E+01
    0.105375E+02   -0.413561E+01   -0.397432E+01    0.373113E+01
    0.106625E+02   -0.441889E+01   -0.419506E+01    0.373113E+01
    0.107875E+02   -0.476064E+01   -0.442986E+01    0.373113E+01
    0.109125E+02   -0.515722E+01   -0.470544E+01    0.373113E+01
    0.110375E+02   -0.568042E+01   -0.500271E+01    0.373113E+01
