all,,centrals,,satellites,,025dexerror,,Moustakas,,Muzzin,,Wright,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.039370078740157,-1.4568527918781733,8.029527559055119,-1.5710659898477166,8.059055118110237,-2.2309644670050766,8.068897637795276,-1.4822335025380724,10.81496062992126,-2.586294416243655,9.456692913385826,-2.370558375634519,8.807086614173228,-2.1040609137055846
8.216535433070867,-1.5710659898477166,8.187007874015748,-1.6472081218274122,8.196850393700787,-2.3197969543147225,8.265748031496063,-1.5837563451776662,10.913385826771654,-2.649746192893402,9.643700787401574,-2.370558375634519,9.062992125984252,-2.091370558375635
8.374015748031496,-1.6345177664974626,8.344488188976378,-1.7233502538071068,8.344488188976378,-2.3832487309644677,8.511811023622048,-1.710659898477159,11.031496062992126,-2.7005076142131994,9.751968503937007,-2.4467005076142136,9.309055118110237,-2.1675126903553315
8.570866141732283,-1.7233502538071068,8.620078740157481,-1.8502538071066006,8.501968503937007,-2.4467005076142136,8.748031496062993,-1.8121827411167528,11.11023622047244,-2.840101522842641,9.87007874015748,-2.5101522842639605,9.309055118110237,-2.4720812182741128
8.748031496062993,-1.7614213197969555,8.866141732283465,-1.9390862944162448,8.669291338582678,-2.52284263959391,9.062992125984252,-1.9390862944162448,11.218503937007874,-3.0431472081218285,9.968503937007874,-2.5355329949238588,9.545275590551181,-2.2563451776649757
8.9251968503937,-1.901015228426397,9.181102362204724,-2.1040609137055846,8.856299212598426,-2.5989847715736047,9.338582677165356,-2.0786802030456855,11.30708661417323,-3.2969543147208142,10.027559055118111,-2.6116751269035543,9.545275590551181,-2.4720812182741128
9.161417322834646,-1.964467005076144,9.42716535433071,-2.1928934010152297,9.082677165354331,-2.7005076142131994,9.71259842519685,-2.2563451776649757,11.405511811023622,-3.4238578680203062,10.244094488188978,-2.624365482233504,9.801181102362206,-2.4213197969543163
9.348425196850394,-2.0659898477157377,9.653543307086615,-2.34517766497462,9.289370078740157,-2.7893401015228427,10.076771653543307,-2.395939086294417,11.503937007874017,-3.868020304568528,10.372047244094489,-2.649746192893402,9.791338582677165,-2.5989847715736047
9.614173228346457,-2.18020304568528,9.87007874015748,-2.434010152284264,9.53543307086614,-2.903553299492387,10.401574803149607,-2.52284263959391,11.60236220472441,-4.3248730964467015,10.440944881889763,-2.6751269035533003,10.03740157480315,-2.5482233502538083
9.801181102362206,-2.307106598984773,10.076771653543307,-2.497461928934011,9.742125984251969,-3.0177664974619294,10.598425196850394,-2.7005076142131994,11.720472440944881,-4.426395939086296,10.549212598425196,-2.7005076142131994,10.047244094488189,-2.6624365482233516
10.066929133858267,-2.395939086294417,10.34251968503937,-2.586294416243655,10.007874015748031,-3.0939086294416267,10.844488188976378,-2.8527918781725887,11.818897637795276,-5.073604060913707,10.65748031496063,-2.8274111675126914,10.283464566929133,-2.5989847715736047
10.35236220472441,-2.5101522842639605,10.588582677165354,-2.7258883248730985,10.244094488188978,-3.2842639593908647,11.080708661417322,-3.144670050761423,11.996062992125985,-5.746192893401016,10.942913385826772,-3.081218274111677,10.283464566929133,-2.713197969543149
10.588582677165354,-2.6624365482233516,10.78543307086614,-2.9162436548223365,10.470472440944881,-3.3857868020304576,11.28740157480315,-3.4238578680203062,,,10.992125984251969,-3.2588832487309656,10.549212598425196,-2.751269035532996
10.775590551181104,-2.8274111675126914,11.001968503937007,-3.18274111675127,10.716535433070867,-3.6269035532994938,11.484251968503937,-3.7664974619289353,,,11.11023622047244,-3.461928934010153,10.549212598425196,-2.878172588832488
10.972440944881889,-3.0939086294416267,11.198818897637796,-3.525380710659899,10.834645669291339,-3.8553299492385804,11.641732283464567,-4.020304568527919,,,11.228346456692915,-3.8299492385786813,10.78543307086614,-2.776649746192895
11.13976377952756,-3.309644670050762,11.356299212598426,-3.741116751269036,11.041338582677167,-4.147208121827413,11.779527559055119,-4.350253807106601,,,11.326771653543307,-3.994923857868022,11.041338582677167,-2.941624365482234
11.28740157480315,-3.563451776649746,11.503937007874017,-4.147208121827413,11.208661417322835,-4.464467005076143,11.89763779527559,-4.629441624365484,,,11.415354330708663,-4.439086294416244,11.061023622047244,-3.1700507614213205
11.385826771653544,-3.8172588832487317,11.671259842519685,-4.540609137055839,11.326771653543307,-4.781725888324875,12.03543307086614,-4.946700507614214,,,11.503937007874017,-4.654822335025381,11.30708661417323,-3.3223350253807116
11.562992125984252,-4.109137055837564,11.769685039370078,-4.7944162436548226,11.503937007874017,-5.060913705583758,12.153543307086615,-5.213197969543149,,,11.612204724409448,-5.238578680203048,11.553149606299211,-3.8553299492385804
11.661417322834646,-4.4517766497461935,11.887795275590552,-5.137055837563453,11.572834645669293,-5.36548223350254,12.23228346456693,-5.479695431472081,,,11.730314960629922,-5.961928934010153,11.553149606299211,-4.045685279187818
11.779527559055119,-4.781725888324875,11.996062992125985,-5.403553299492387,11.661417322834646,-5.758883248730966,12.340551181102363,-5.86040609137056,,,11.799212598425196,-5.022842639593909,11.799212598425196,-5.01015228426396
11.868110236220472,-5.060913705583758,12.114173228346456,-5.682741116751268,,,,,,,12.025590551181102,-5.746192893401016,12.0748031496063,-5.822335025380712
11.966535433070867,-5.314720812182742,12.202755905511811,-5.923857868020306,,,,,,,,,,
12.104330708661417,-5.555837563451778,,,,,,,,,,,,
12.173228346456693,-5.86040609137056,,,,,,,,,,,,
