39	4	5	9.591064607	8.602059991	8.698970004	69	11.83884909
11	2	2	9.041392685	8.301029996	8.301029996	37	11.56820172
0.45	0.17	0.1	7.653212514	7.230448921	7	1.4	10.14612804
25	7	7	9.397940009	8.84509804	8.84509804	55	11.74036269
24	10	10	9.380211242	9	9	27	11.43136376
0.044	0.044	0.022	6.643452676	6.643452676	6.342422681	2.4	10.38021124
1.2	0.9	0.3	8.079181246	7.954242509	7.477121255	0.46	9.662757832
0.73	0.5	0.3	7.86332286	7.698970004	7.477121255	1	10
9	0.9	0.8	8.954242509	7.954242509	7.903089987	19	11.2787536
58	3.5	3.5	9.763427994	8.544068044	8.544068044	23	11.36172784
0.1	0.1	0.05	7	7	6.698970004	0.61	9.785329835
8.3	2.7	1.3	8.919078092	8.431363764	8.113943352	4.6	10.66275783
0.39	0.26	0.09	7.591064607	7.414973348	6.954242509	11	11.04139269
0.42	0.04	0.04	7.62324929	6.602059991	6.602059991	1.9	10.2787536
0.084	0.003	0.003	6.924279286	5.477121255	5.477121255	4.5	10.65321251
0.66	0.03	0.03	7.819543936	6.477121255	6.477121255	1.4	10.14612804
0.73	0.69	0.35	7.86332286	7.838849091	7.544068044	0.66	9.819543936
15	2	2	9.176091259	8.301029996	8.301029996	4.7	10.67209786
4.7	0.6	0.6	8.672097858	7.77815125	7.77815125	26	11.41497335
0.083	0.004	0.004	6.919078092	5.602059991	5.602059991	2	10.30103
0.14	0.02	0.13	7.146128036	6.301029996	7.113943352	0.39	9.591064607
0.15	0.09	0.1	7.176091259	6.954242509	7	0.35	9.544068044
0.4	0.04	0.05	7.602059991	6.602059991	6.698970004	0.3	9.477121255
0.12	0.005	0.005	7.079181246	5.698970004	5.698970004	3.5	10.54406804
1.7	0.2	0.2	8.230448921	7.301029996	7.301029996	6.7	10.8260748
0.024	0.024	0.012	6.380211242	6.380211242	6.079181246	0.88	9.944482672
8.8	10	2.7	8.944482672	9	8.431363764	1.9	10.2787536
0.14	0.1	0.06	7.146128036	7	6.77815125	0.93	9.968482949
2	0.5	0.5	8.301029996	7.698970004	7.698970004	1.24	10.09342169
0.073	0.015	0.015	6.86332286	6.176091259	6.176091259	0.86	9.934498451
0.77	0.04	0.06	7.886490725	6.602059991	6.77815125	2	10.30103
4	1	1	8.602059991	8	8	5.4	10.73239376
0.17	0.01	0.02	7.230448921	6	6.301029996	1.2	10.07918125
0.34	0.02	0.02	7.531478917	6.301029996	6.301029996	4.9	10.69019608
